timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
18580636,-0.0135437,-0.00231458,-0.00480913,0.686184,0.00161516,-0.0146583,0.727279,0.721031,0.014643,-0.0143153,0.6926,1
18583736,-0.000250417,0.00760439,0.00378635,0.686188,0.00160296,-0.0146477,0.727275,0.721031,0.014643,-0.0143153,0.6926,1
18636662,0.00271177,0.000387799,0.00279517,0.686202,0.00163186,-0.0146295,0.727262,0.721031,0.014643,-0.0143153,0.6926,1
18688802,0.00280897,0.0138152,0.0074871,0.686264,0.001625,-0.0146428,0.727203,0.721031,0.014643,-0.0143153,0.6926,1
18740640,-0.00846993,0.00178172,0.000827309,0.686285,0.0015844,-0.0146651,0.727183,0.721031,0.014643,-0.0143153,0.6926,1
18793623,0.00447462,-0.00727696,0.0169091,0.68626,0.00167275,-0.0146665,0.727206,0.721031,0.014643,-0.0143153,0.6926,1
18843610,-0.0056774,-0.00603869,-0.00120388,0.686156,0.0017111,-0.0146432,0.727305,0.721031,0.014643,-0.0143153,0.6926,1
18897646,0.00468023,-0.00360292,0.00756683,0.685991,0.00174593,-0.0146154,0.727461,0.721031,0.014643,-0.0143153,0.6926,1
18950711,4.87142e-05,0.00887259,0.00245496,0.68593,0.00176477,-0.0146226,0.727519,0.721031,0.014643,-0.0143153,0.6926,1
19004620,0.000558628,-0.00809437,-0.00438133,0.68589,0.00180382,-0.0146088,0.727556,0.721031,0.014643,-0.0143153,0.6926,1
19054619,0.00257615,0.00209498,0.00747002,0.685957,0.00177312,-0.0145263,0.727495,0.721031,0.014643,-0.0143153,0.6926,1
19109641,0.00967204,-0.00613309,-6.94599e-05,0.686061,0.0017637,-0.0144754,0.727398,0.721031,0.014643,-0.0143153,0.6926,1
19158685,0.0128027,0.00159824,0.0109148,0.686116,0.00176818,-0.0144017,0.727347,0.721031,0.014643,-0.0143153,0.6926,1
19211728,0.00314123,0.00963658,0.00382947,0.686215,0.00177564,-0.0143079,0.727256,0.721031,0.014643,-0.0143153,0.6926,1
19262622,0.00140887,-0.00117551,0.00610388,0.686254,0.00182386,-0.0143001,0.727219,0.721031,0.014643,-0.0143153,0.6926,1
