timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,device_id,x_raw,y_raw,z_raw,temperature_raw
17761499,0,0,-0.237288,0.160947,-9.89832,0.0,0.0,0.0,11.8272,0.0,0.0,0,-24,16,-1009,0
17938902,0,0,-0.149289,0.0363172,-9.92663,0.0,0.0,0.0,11.8272,0.0,0.0,0,-15,3,-1012,0
17988506,0,0,-0.209581,0.213172,-9.92241,0.0,0.0,0.0,11.8272,0.0,0.0,0,-21,21,-1011,0
18038532,0,0,-0.206978,0.138245,-9.90575,0.0,0.0,0.0,11.8272,0.0,0.0,0,-21,14,-1010,0
18091547,0,0,-0.297683,0.23988,-9.88954,0.0,0.0,0.0,11.8272,0.0,0.0,0,-30,24,-1008,0
18142540,0,0,-0.286672,0.173049,-9.88933,0.0,0.0,0.0,11.8272,0.0,0.0,0,-29,17,-1008,0
18198559,0,0,-0.223939,0.310122,-9.97723,0.0,0.0,0.0,11.8272,0.0,0.0,0,-22,31,-1017,0
18249478,0,0,-0.225332,0.0754652,-9.97675,0.0,0.0,0.0,11.8272,0.0,0.0,0,-22,7,-1017,0
18301548,0,0,-0.296358,0.235794,-10.0188,0.0,0.0,0.0,11.8272,0.0,0.0,0,-30,24,-1021,0
18353480,0,0,-0.258018,0.220273,-10.0035,0.0,0.0,0.0,11.8272,0.0,0.0,0,-26,22,-1020,0
18407563,0,0,-0.225866,0.24846,-9.8853,0.0,0.0,0.0,11.8272,0.0,0.0,0,-23,25,-1008,0
18461496,0,0,-0.21398,0.287693,-9.98982,0.0,0.0,0.0,11.8272,0.0,0.0,0,-21,29,-1018,0
18513483,0,0,-0.213018,0.189952,-9.96773,0.0,0.0,0.0,11.8272,0.0,0.0,0,-21,19,-1016,0
18566467,0,0,-0.180946,0.0780708,-9.99187,0.0,0.0,0.0,11.8272,0.0,0.0,0,-18,7,-1018,0
18616768,0,0,-0.244752,0.146245,-10.0405,0.0,0.0,0.0,11.8272,0.0,0.0,0,-24,14,-1023,0
18668407,0,0,-0.137411,0.219792,-9.79765,0.0,0.0,0.0,11.8272,0.0,0.0,0,-14,22,-999,0
18723503,0,0,-0.217412,0.175064,-9.87922,0.0,0.0,0.0,11.8272,0.0,0.0,0,-22,17,-1007,0
18774485,0,0,-0.132711,0.185737,-9.96214,0.0,0.0,0.0,11.8272,0.0,0.0,0,-13,18,-1015,0
18828702,0,0,-0.104558,0.323586,-9.99881,0.0,0.0,0.0,11.8272,0.0,0.0,0,-10,32,-1019,0
18881479,0,0,-0.0912609,0.219095,-9.86785,0.0,0.0,0.0,11.8272,0.0,0.0,0,-9,22,-1006,0
18931544,0,0,-0.253975,0.176763,-9.93922,0.0,0.0,0.0,11.8272,0.0,0.0,0,-25,18,-1013,0
18985484,0,0,-0.177539,0.124234,-9.88702,0.0,0.0,0.0,11.8272,0.0,0.0,0,-18,12,-1008,0
19036528,0,0,-0.174424,0.162841,-9.93484,0.0,0.0,0.0,11.8272,0.0,0.0,0,-17,16,-1013,0
19091078,0,0,-0.22991,0.256253,-9.90982,0.0,0.0,0.0,11.8272,0.0,0.0,0,-23,26,-1010,0
19140467,0,0,-0.208896,0.141709,-10.0061,0.0,0.0,0.0,11.8272,0.0,0.0,0,-21,14,-1020,0
19193479,0,0,-0.0982945,0.282271,-9.90844,0.0,0.0,0.0,11.8272,0.0,0.0,0,-10,28,-1010,0
19247485,0,0,-0.200339,0.261288,-10.0054,0.0,0.0,0.0,11.8272,0.0,0.0,0,-20,26,-1020,0
19298478,0,0,-0.230722,0.172354,-9.80074,0.0,0.0,0.0,11.8272,0.0,0.0,0,-23,17,-999,0
19353487,0,0,-0.250836,0.100242,-9.9515,0.0,0.0,0.0,11.8272,0.0,0.0,0,-25,10,-1014,0
19401467,0,0,-0.142922,0.249526,-9.93413,0.0,0.0,0.0,11.8272,0.0,0.0,0,-14,25,-1012,0
19456550,0,0,-0.188681,0.114691,-9.88589,0.0,0.0,0.0,11.8272,0.0,0.0,0,-19,11,-1008,0
19511480,0,0,-0.251474,0.115596,-10.0619,0.0,0.0,0.0,11.8272,0.0,0.0,0,-25,11,-1026,0
19560506,0,0,-0.256491,0.233139,-9.99055,0.0,0.0,0.0,11.8272,0.0,0.0,0,-26,23,-1018,0
19612491,0,0,-0.198782,0.212164,-9.91118,0.0,0.0,0.0,11.8272,0.0,0.0,0,-20,21,-1010,0
19668479,0,0,-0.0982646,0.10614,-10.0808,0.0,0.0,0.0,11.8272,0.0,0.0,0,-10,10,-1027,0
19720478,0,0,-0.215435,0.211584,-9.87473,0.0,0.0,0.0,11.8272,0.0,0.0,0,-21,21,-1006,0
19772524,0,0,-0.228571,0.223725,-9.96685,0.0,0.0,0.0,11.8272,0.0,0.0,0,-23,22,-1016,0
19819527,0,0,-0.245061,0.314649,-10.1193,0.0,0.0,0.0,11.8272,0.0,0.0,0,-24,32,-1031,0
19869545,0,0,-0.258649,0.184102,-9.88361,0.0,0.0,0.0,11.8272,0.0,0.0,0,-26,18,-1007,0
19927510,0,0,-0.151047,0.281768,-10.0945,0.0,0.0,0.0,11.8272,0.0,0.0,0,-15,28,-1029,0
19978485,0,0,0.368596,0.249211,-9.97443,0.0,0.0,0.0,11.8272,0.0,0.0,0,37,25,-1017,0
20029487,0,0,1.87315,0.144347,-9.96514,0.0,0.0,0.0,11.8272,0.0,0.0,0,191,14,-1016,0
20084467,0,0,3.37003,0.226201,-9.97082,0.0,0.0,0.0,11.8272,0.0,0.0,0,343,23,-1016,0
20133481,0,0,4.23722,0.203735,-9.87789,0.0,0.0,0.0,11.8272,0.0,0.0,0,432,20,-1007,0
20188476,0,0,5.33441,0.183009,-9.86495,0.0,0.0,0.0,11.8272,0.0,0.0,0,543,18,-1005,0
20240506,0,0,6.22849,0.187713,-9.87082,0.0,0.0,0.0,11.8272,0.0,0.0,0,635,19,-1006,0
20289551,0,0,7.00655,0.214807,-9.89498,0.0,0.0,0.0,11.8272,0.0,0.0,0,714,21,-1009,0
20347490,0,0,7.55239,0.126882,-9.99542,0.0,0.0,0.0,11.8272,0.0,0.0,0,770,12,-1019,0
20399512,0,0,8.03398,0.149064,-9.88233,0.0,0.0,0.0,11.8272,0.0,0.0,0,819,15,-1007,0
20452527,0,0,8.3078,0.341335,-9.96989,0.0,0.0,0.0,11.8272,0.0,0.0,0,847,34,-1016,0
20501467,0,0,8.57681,0.270207,-9.95763,0.0,0.0,0.0,11.8272,0.0,0.0,0,874,27,-1015,0
20556505,0,0,8.69473,0.251333,-9.9439,0.0,0.0,0.0,11.8272,0.0,0.0,0,886,25,-1013,0
20609644,0,0,8.76501,0.183462,-10.0414,0.0,0.0,0.0,11.8272,0.0,0.0,0,893,18,-1023,0
20661485,0,0,8.73365,0.223677,-9.95138,0.0,0.0,0.0,11.8272,0.0,0.0,0,890,22,-1014,0
20713579,0,0,8.78337,0.165363,-9.89352,0.0,0.0,0.0,11.8272,0.0,0.0,0,895,16,-1008,0
20767478,0,0,8.64295,0.222621,-10.0412,0.0,0.0,0.0,11.8272,0.0,0.0,0,881,22,-1023,0
20819477,0,0,8.68515,0.206835,-9.95663,0.0,0.0,0.0,11.8272,0.0,0.0,0,885,21,-1015,0
20869483,0,0,8.531,0.114608,-10.039,0.0,0.0,0.0,11.8272,0.0,0.0,0,869,11,-1023,0
20924498,0,0,8.59766,0.198035,-10.1214,0.0,0.0,0.0,11.8272,0.0,0.0,0,876,20,-1032,0
20975509,0,0,8.41769,0.150615,-9.96008,0.0,0.0,0.0,11.8272,0.0,0.0,0,858,15,-1015,0
21028497,0,0,8.29251,0.195939,-9.95659,0.0,0.0,0.0,11.8272,0.0,0.0,0,845,19,-1015,0
21078507,0,0,7.98527,0.0987803,-9.9977,0.0,0.0,0.0,11.8272,0.0,0.0,0,814,10,-1019,0
21134470,0,0,8.09271,0.0983661,-9.97528,0.0,0.0,0.0,11.8272,0.0,0.0,0,825,10,-1017,0
21183471,0,0,7.93769,0.116766,-9.88796,0.0,0.0,0.0,11.8272,0.0,0.0,0,809,11,-1008,0
21238484,0,0,7.69051,0.252625,-9.79948,0.0,0.0,0.0,11.8272,0.0,0.0,0,784,25,-999,0
21292510,0,0,7.69544,0.351848,-9.92272,0.0,0.0,0.0,11.8272,0.0,0.0,0,784,35,-1011,0
21340499,0,0,7.44663,0.132238,-10.0951,0.0,0.0,0.0,11.8272,0.0,0.0,0,759,13,-1029,0
21397480,0,0,7.33582,0.183646,-9.97935,0.0,0.0,0.0,11.8272,0.0,0.0,0,748,18,-1017,0
21449480,0,0,7.3003,0.300343,-9.87393,0.0,0.0,0.0,11.8272,0.0,0.0,0,744,30,-1006,0
21502480,0,0,7.1479,0.310708,-9.95468,0.0,0.0,0.0,11.8272,0.0,0.0,0,728,31,-1015,0
21551500,0,0,7.04511,0.227888,-10.0041,0.0,0.0,0.0,11.8272,0.0,0.0,0,718,23,-1020,0
21605566,0,0,6.95614,0.231708,-9.94625,0.0,0.0,0.0,11.8272,0.0,0.0,0,709,23,-1014,0
21656486,0,0,6.79983,0.220798,-9.89173,0.0,0.0,0.0,11.8272,0.0,0.0,0,693,22,-1008,0
21712513,0,0,6.64413,0.201724,-9.97056,0.0,0.0,0.0,11.8272,0.0,0.0,0,677,20,-1016,0
21761480,0,0,6.72182,0.181181,-9.94758,0.0,0.0,0.0,11.8272,0.0,0.0,0,685,18,-1014,0
21810760,0,0,6.49837,0.113666,-9.8577,0.0,0.0,0.0,11.8272,0.0,0.0,0,662,11,-1005,0
21869467,0,0,6.46879,0.233897,-9.91016,0.0,0.0,0.0,11.8272,0.0,0.0,0,659,23,-1010,0
21922500,0,0,6.27679,0.0931942,-9.94535,0.0,0.0,0.0,11.8272,0.0,0.0,0,640,9,-1014,0
21973471,0,0,6.1448,0.143972,-9.9123,0.0,0.0,0.0,11.8272,0.0,0.0,0,626,14,-1010,0
22026503,0,0,6.16645,0.190291,-10.0312,0.0,0.0,0.0,11.8272,0.0,0.0,0,628,19,-1022,0
22078479,0,0,5.89555,0.049657,-9.8402,0.0,0.0,0.0,11.8272,0.0,0.0,0,601,5,-1003,0
22128482,0,0,5.97974,0.193702,-9.89672,0.0,0.0,0.0,11.8272,0.0,0.0,0,609,19,-1009,0
