timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
16648622,0.0049586,-0.00382919,-0.000275733,0.692389,0.00110082,-0.0135515,0.721396,0.717251,0.0150015,-0.0144869,0.696503,1
16703621,-0.00516325,-0.00296226,0.0124668,0.692296,0.00116852,-0.013523,0.721486,0.717251,0.0150015,-0.0144869,0.696503,1
16753620,-0.00515929,-0.000502141,0.00722969,0.692245,0.00116954,-0.0135469,0.721534,0.717251,0.0150015,-0.0144869,0.696503,1
16808609,0.00227669,0.00132664,-0.0053345,0.692236,0.00120591,-0.01358,0.721542,0.717251,0.0150015,-0.0144869,0.696503,1
16858621,0.000698909,0.00238841,0.0092986,0.692266,0.00120931,-0.0136394,0.721513,0.717251,0.0150015,-0.0144869,0.696503,1
16912732,-0.0105363,0.00553077,0.00385833,0.692359,0.00120416,-0.0136785,0.721422,0.717251,0.0150015,-0.0144869,0.696503,1
16965736,-0.00478471,-0.00798577,6.61117e-05,0.692419,0.00120562,-0.0137749,0.721363,0.717251,0.0150015,-0.0144869,0.696503,1
17018624,0.00292702,-0.0035644,-0.00560006,0.692478,0.00117552,-0.0137508,0.721307,0.717251,0.0150015,-0.0144869,0.696503,1
17069622,0.00953939,0.0074059,-0.00863456,0.692564,0.00117461,-0.0137582,0.721224,0.717251,0.0150015,-0.0144869,0.696503,1
17121629,0.00266304,-0.00204057,-0.00771241,0.692656,0.00108713,-0.0137074,0.721137,0.717251,0.0150015,-0.0144869,0.696503,1
17174735,-0.00296618,-0.00115464,0.00274055,0.692679,0.00105033,-0.013717,0.721115,0.717251,0.0150015,-0.0144869,0.696503,1
17226646,0.00328087,0.0023968,-0.000998128,0.692683,0.00100219,-0.0137724,0.72111,0.717251,0.0150015,-0.0144869,0.696503,1
