timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
88690300,-6.89608e-07,2.18289e-05,-4.39174e-09,0.70711,3.33396e-06,-3.43173e-06,0.70711,0.0,0.0,0.0,0.0,0
88742727,-6.89608e-07,2.18289e-05,-4.39174e-09,0.70711,3.33396e-06,-3.43173e-06,0.70711,0.0,0.0,0.0,0.0,0
88799113,-6.89608e-07,2.18289e-05,-4.39174e-09,0.70711,3.33396e-06,-3.43173e-06,0.70711,0.0,0.0,0.0,0.0,0
88851066,-6.89608e-07,2.18289e-05,-4.39174e-09,0.70711,3.33396e-06,-3.43173e-06,0.70711,0.0,0.0,0.0,0.0,0
88903128,-7.0599e-07,2.18232e-05,-4.40242e-09,0.70711,3.33571e-06,-3.43011e-06,0.70711,0.0,0.0,0.0,0.0,0
88955809,-7.19025e-07,2.18013e-05,-4.41155e-09,0.70711,3.33749e-06,-3.42899e-06,0.70711,0.0,0.0,0.0,0.0,0
89008002,-7.32258e-07,2.17536e-05,-4.42094e-09,0.70711,3.33999e-06,-3.42848e-06,0.70711,0.0,0.0,0.0,0.0,0
89060339,-7.36925e-07,2.1699e-05,-4.42553e-09,0.70711,3.34284e-06,-3.42978e-06,0.70711,0.0,0.0,0.0,0.0,0
89112842,-7.31552e-07,2.16675e-05,-4.42518e-09,0.70711,3.34615e-06,-3.43303e-06,0.70711,0.0,0.0,0.0,0.0,0
89165349,-7.2643e-07,2.16471e-05,-4.42498e-09,0.70711,3.35049e-06,-3.43722e-06,0.70711,0.0,0.0,0.0,0.0,0
89216818,-7.22729e-07,2.16367e-05,-4.42566e-09,0.70711,3.35578e-06,-3.44225e-06,0.70711,0.0,0.0,0.0,0.0,0
89268810,-7.19246e-07,2.16357e-05,-4.42816e-09,0.70711,3.36194e-06,-3.44806e-06,0.70711,0.0,0.0,0.0,0.0,0
89320932,-7.15889e-07,2.16437e-05,-4.43208e-09,0.70711,3.3689e-06,-3.4546e-06,0.70711,0.0,0.0,0.0,0.0,0
89373016,-7.12357e-07,2.16597e-05,-4.43768e-09,0.70711,3.37659e-06,-3.46178e-06,0.70711,0.0,0.0,0.0,0.0,0
89428882,-1.18847e-07,1.56577e-05,-1.19482e-07,0.70711,3.54629e-06,-3.35851e-06,0.70711,0.0,0.0,0.0,0.0,0
89477915,1.1327e-08,1.58697e-05,-1.31334e-07,0.70711,3.60543e-06,-3.41341e-06,0.70711,0.0,0.0,0.0,0.0,0
89531479,-2.12397e-07,2.19263e-05,5.83113e-09,0.70711,3.75231e-06,-3.61048e-06,0.70711,0.0,0.0,0.0,0.0,0
89583593,1.68026e-07,2.24256e-05,5.41003e-09,0.70711,3.8072e-06,-3.66585e-06,0.70711,0.0,0.0,0.0,0.0,0
89635472,1.77611e-07,2.29918e-05,5.22617e-09,0.70711,3.82896e-06,-3.7091e-06,0.70711,0.0,0.0,0.0,0.0,0
89691474,2.42514e-07,2.35361e-05,-2.73529e-07,0.70711,3.86554e-06,-3.72634e-06,0.70711,0.0,0.0,0.0,0.0,0
89742549,2.45459e-07,2.39097e-05,-2.67174e-07,0.70711,3.87746e-06,-3.74699e-06,0.70711,0.0,0.0,0.0,0.0,0
89794482,2.43833e-07,2.42319e-05,-2.61794e-07,0.70711,3.88601e-06,-3.76326e-06,0.70711,0.0,0.0,0.0,0.0,0
89846467,2.38573e-07,2.45495e-05,-2.56359e-07,0.70711,3.88875e-06,-3.78096e-06,0.70711,0.0,0.0,0.0,0.0,0
89899476,2.31479e-07,2.48054e-05,-2.51642e-07,0.70711,3.91662e-06,-3.76508e-06,0.70711,0.0,0.0,0.0,0.0,0
89953153,1.4358e-07,2.49978e-05,-0.00356597,0.707132,3.90516e-06,-3.78184e-06,0.707088,0.0,0.0,0.0,0.0,0
90003495,3.74593e-08,2.51288e-05,-0.0116431,0.707249,3.9039e-06,-3.78246e-06,0.706971,0.0,0.0,0.0,0.0,0
90056462,-7.33101e-08,2.52377e-05,-0.0247546,0.707568,3.89866e-06,-3.7823e-06,0.706652,0.0,0.0,0.0,0.0,0
90108493,-3.15974e-07,2.53116e-05,-0.0409871,0.708157,3.88924e-06,-3.78204e-06,0.706061,0.0,0.0,0.0,0.0,0
90160553,-4.95643e-07,2.53774e-05,-0.0592296,0.709061,3.87792e-06,-3.77993e-06,0.705153,0.0,0.0,0.0,0.0,0
90215606,-7.18012e-07,2.54187e-05,-0.07967,0.710417,3.86056e-06,-3.77871e-06,0.703788,0.0,0.0,0.0,0.0,0
90265476,-8.99303e-07,2.54392e-05,-0.0966179,0.711894,3.83852e-06,-3.78167e-06,0.702294,0.0,0.0,0.0,0.0,0
90321474,-1.06887e-06,2.5445e-05,-0.114313,0.713957,3.81564e-06,-3.77896e-06,0.700196,0.0,0.0,0.0,0.0,0
90373492,-1.22043e-06,2.5443e-05,-0.127554,0.716151,3.78928e-06,-3.7783e-06,0.697952,0.0,0.0,0.0,0.0,0
90426520,-1.3004e-06,2.54247e-05,-0.136773,0.718545,3.76098e-06,-3.77653e-06,0.695486,0.0,0.0,0.0,0.0,0
90475474,-1.37283e-06,2.5362e-05,-0.141152,0.720864,3.73041e-06,-3.77675e-06,0.693083,0.0,0.0,0.0,0.0,0
90531462,-1.37686e-06,2.53502e-05,-0.141668,0.723608,3.69767e-06,-3.76921e-06,0.690217,0.0,0.0,0.0,0.0,0
90582475,-1.34122e-06,2.52948e-05,-0.138633,0.726126,3.66399e-06,-3.76343e-06,0.687568,0.0,0.0,0.0,0.0,0
90630462,-1.27922e-06,2.52344e-05,-0.133003,0.728371,3.63176e-06,-3.75713e-06,0.68519,0.0,0.0,0.0,0.0,0
90685493,-1.20086e-06,2.51713e-05,-0.125688,0.730325,3.6025e-06,-3.74934e-06,0.683107,0.0,0.0,0.0,0.0,0
90740742,-1.18123e-06,2.5114e-05,-0.115693,0.73231,3.57197e-06,-3.73747e-06,0.680978,0.0,0.0,0.0,0.0,0
90790463,-9.36113e-07,2.50267e-05,-0.102383,0.734106,3.53769e-06,-3.73179e-06,0.679042,0.0,0.0,0.0,0.0,0
90842622,-7.47129e-07,2.49313e-05,-0.0847347,0.73577,3.50339e-06,-3.71816e-06,0.677238,0.0,0.0,0.0,0.0,0
90898474,-5.29686e-07,2.48194e-05,-0.0639707,0.737195,3.46884e-06,-3.69787e-06,0.675687,0.0,0.0,0.0,0.0,0
90950476,-3.26813e-07,2.47069e-05,-0.0440905,0.738157,3.43806e-06,-3.67572e-06,0.674636,0.0,0.0,0.0,0.0,0
91002515,-1.34333e-07,2.45855e-05,-0.0246438,0.738771,3.4085e-06,-3.65059e-06,0.673963,0.0,0.0,0.0,0.0,0
91055479,3.64351e-08,2.4455e-05,-0.00659285,0.739054,3.37999e-06,-3.62277e-06,0.673653,0.0,0.0,0.0,0.0,0
91106594,5.45697e-08,2.4252e-05,-6.22933e-06,0.739082,3.3535e-06,-3.59148e-06,0.673622,0.0,0.0,0.0,0.0,0
91161620,4.01416e-08,2.41038e-05,-1.31725e-05,0.739082,3.32558e-06,-3.55843e-06,0.673622,0.0,0.0,0.0,0.0,0
91211474,2.83642e-08,2.39721e-05,-1.89558e-05,0.739082,3.30742e-06,-3.52415e-06,0.673622,0.0,0.0,0.0,0.0,0
91263476,1.56531e-08,2.38245e-05,-2.51341e-05,0.739083,3.27281e-06,-3.49931e-06,0.673622,0.0,0.0,0.0,0.0,0
91315553,1.7751e-09,2.36715e-05,-3.12073e-05,0.739083,3.23357e-06,-3.47728e-06,0.673621,0.0,0.0,0.0,0.0,0
91371507,-1.23149e-08,2.35015e-05,-3.75437e-05,0.739084,3.20807e-06,-3.43676e-06,0.67362,0.0,0.0,0.0,0.0,0
91419475,-2.46006e-08,2.33512e-05,-4.29444e-05,0.739084,3.1957e-06,-3.39209e-06,0.67362,0.0,0.0,0.0,0.0,0
91475494,2.09263e-07,2.32616e-05,-5.24533e-05,0.739085,3.11006e-06,-3.40348e-06,0.673618,0.0,0.0,0.0,0.0,0
91527884,-5.29479e-08,2.29983e-05,-5.50205e-05,0.739086,3.12633e-06,-3.32542e-06,0.673617,0.0,0.0,0.0,0.0,0
91581491,-6.69503e-08,2.28213e-05,-6.08108e-05,0.739087,3.07397e-06,-3.30859e-06,0.673616,0.0,0.0,0.0,0.0,0
91632171,-8.11385e-08,2.26397e-05,-6.65928e-05,0.739088,3.01523e-06,-3.29638e-06,0.673615,0.0,0.0,0.0,0.0,0
91685472,-8.71682e-08,2.24441e-05,-0.000485315,0.739091,3.0118e-06,-3.22719e-06,0.673612,0.0,0.0,0.0,0.0,0
91737478,-1.45638e-07,2.22508e-05,-0.0022055,0.739112,2.96541e-06,-3.19697e-06,0.67359,0.0,0.0,0.0,0.0,0
91788193,-1.92976e-07,2.20507e-05,-0.00509973,0.739172,2.92867e-06,-3.16028e-06,0.673523,0.0,0.0,0.0,0.0,0
91842479,-2.4188e-07,2.18468e-05,-0.00884902,0.739292,2.89091e-06,-3.12374e-06,0.673392,0.0,0.0,0.0,0.0,0
91894493,-2.93135e-07,2.16403e-05,-0.012923,0.739479,2.85242e-06,-3.08688e-06,0.673186,0.0,0.0,0.0,0.0,0
91947495,-3.42763e-07,2.1431e-05,-0.0170607,0.739739,2.81314e-06,-3.04976e-06,0.672901,0.0,0.0,0.0,0.0,0
91998503,-3.87643e-07,2.12192e-05,-0.0208936,0.740069,2.77292e-06,-3.01248e-06,0.672538,0.0,0.0,0.0,0.0,0
92052550,-4.25273e-07,2.10048e-05,-0.0240937,0.740461,2.73201e-06,-2.97478e-06,0.672106,0.0,0.0,0.0,0.0,0
92105493,-4.55763e-07,2.07711e-05,-0.0265344,0.740938,2.6871e-06,-2.93375e-06,0.671581,0.0,0.0,0.0,0.0,0
92158498,-4.73959e-07,2.05514e-05,-0.0276856,0.741412,2.64471e-06,-2.89513e-06,0.671057,0.0,0.0,0.0,0.0,0
92210476,-3.23024e-07,2.03074e-05,-0.0276962,0.741896,2.60277e-06,-2.85534e-06,0.670521,0.0,0.0,0.0,0.0,0
92262504,-3.03555e-07,2.00753e-05,-0.0266443,0.742372,2.56331e-06,-2.81374e-06,0.669995,0.0,0.0,0.0,0.0,0
92314487,-4.852e-07,-0.000664937,-0.0243966,0.74282,3.10246e-06,-3.38287e-06,0.669498,0.0,0.0,0.0,0.0,0
92364477,-6.68484e-06,-0.0148063,-0.0200316,0.743184,9.91595e-05,-0.000110079,0.669094,0.0,0.0,0.0,0.0,0
92418478,-1.95999e-05,-0.0343281,-0.0138044,0.743439,0.000447565,-0.000497445,0.66881,0.0,0.0,0.0,0.0,0
92473496,-1.78012e-05,-0.0511489,-0.00505101,0.743597,0.0011344,-0.00126153,0.668632,0.0,0.0,0.0,0.0,0
92523496,-2.66149e-07,-0.0574448,-3.09213e-06,0.743619,0.00209345,-0.00232828,0.668603,0.0,0.0,0.0,0.0,0
92576476,-2.42087e-07,-0.0525901,-2.7636e-07,0.743615,0.00306619,-0.00341015,0.668599,0.0,0.0,0.0,0.0,0
92628518,-2.04853e-07,-0.042549,2.36852e-06,0.74361,0.00390295,-0.0043408,0.668595,0.0,0.0,0.0,0.0,0
92681497,-1.59343e-07,-0.033542,4.9623e-06,0.743605,0.00456619,-0.00507845,0.668591,0.0,0.0,0.0,0.0,0
92733477,-1.06951e-07,-0.0287647,7.6104e-06,0.743601,0.00510493,-0.00567763,0.668587,0.0,0.0,0.0,0.0,0
92785496,-4.6455e-08,-0.0279185,1.03434e-05,0.743596,0.00559453,-0.00622218,0.668583,0.0,0.0,0.0,0.0,0
92838527,2.36658e-08,-0.028786,1.3127e-05,0.743591,0.00608677,-0.00676964,0.668579,0.0,0.0,0.0,0.0,0
92890479,1.0345e-07,-0.0292298,1.59057e-05,0.743586,0.00659303,-0.00733267,0.668575,0.0,0.0,0.0,0.0,0
92944479,1.91214e-07,-0.0283486,1.86416e-05,0.74358,0.00709663,-0.0078928,0.66857,0.0,0.0,0.0,0.0,0
92996497,2.84682e-07,-0.0264599,2.13283e-05,0.743573,0.00757582,-0.0084257,0.668565,0.0,0.0,0.0,0.0,0
93048572,1.64519e-05,-0.0243536,0.000690931,0.743564,0.00801936,-0.00891893,0.668564,0.0,0.0,0.0,0.0,0
93100404,6.478e-05,-0.0226252,0.00257024,0.743533,0.00842905,-0.00937386,0.668588,0.0,0.0,0.0,0.0,0
93151477,0.000133192,-0.021518,0.0050654,0.743469,0.00878486,-0.00976782,0.668648,0.0,0.0,0.0,0.0,0
93207591,0.000230806,-0.0206221,0.00839649,0.743339,0.00918212,-0.0102057,0.66878,0.0,0.0,0.0,0.0,0
93260496,0.000329732,-0.0198909,0.0115495,0.743162,0.00953824,-0.0105961,0.668966,0.0,0.0,0.0,0.0,0
93313482,0.00042293,-0.0191007,0.0143032,0.742933,0.00988231,-0.0109709,0.66921,0.0,0.0,0.0,0.0,0
93365466,0.000499261,-0.018258,0.0163453,0.742661,0.0102131,-0.0113291,0.669501,0.0,0.0,0.0,0.0,0
93417477,0.00055012,-0.0174387,0.0174776,0.74236,0.01053,-0.0116703,0.669824,0.0,0.0,0.0,0.0,0
93470493,0.000570567,-0.0166972,0.0176287,0.742048,0.0108338,-0.0119959,0.670159,0.0,0.0,0.0,0.0,0
93519495,0.000561683,-0.0160823,0.0169413,0.741763,0.0111035,-0.0122843,0.670464,0.0,0.0,0.0,0.0,0
93575494,0.000520995,-0.0154136,0.0153061,0.741452,0.011406,-0.0126074,0.670797,0.0,0.0,0.0,0.0,0
93624493,0.00046592,-0.0148539,0.0134016,0.741215,0.0116551,-0.0128737,0.67105,0.0,0.0,0.0,0.0,0
93677499,0.000393674,-0.0142512,0.0110821,0.740994,0.0119143,-0.0131515,0.671284,0.0,0.0,0.0,0.0,0
93733477,0.000312347,-0.0136137,0.00860392,0.740802,0.0121811,-0.0134385,0.671485,0.0,0.0,0.0,0.0,0
93785478,0.000248641,-0.0130866,0.00673065,0.740674,0.0123997,-0.0136746,0.671618,0.0,0.0,0.0,0.0,0
93836525,0.00019749,-0.0126246,0.00526587,0.740581,0.0125923,-0.0138833,0.671713,0.0,0.0,0.0,0.0,0
93890505,0.000157591,-0.0121456,0.00413689,0.740502,0.0127945,-0.014103,0.671791,0.0,0.0,0.0,0.0,0
93942477,0.000153394,-0.011642,0.00396214,0.740427,0.0130047,-0.0143318,0.671864,0.0,0.0,0.0,0.0,0
93995478,0.000172861,-0.0111594,0.00439688,0.740351,0.0132064,-0.0145509,0.67194,0.0,0.0,0.0,0.0,0
94046294,0.000214515,-0.0107134,0.00537733,0.740263,0.0134002,-0.0147607,0.672029,0.0,0.0,0.0,0.0,0
94099491,0.000267837,-0.0103048,0.00662196,0.740155,0.013587,-0.0149619,0.67214,0.0,0.0,0.0,0.0,0
94151500,0.000323686,-0.00992943,0.00789882,0.740024,0.0137676,-0.015155,0.672275,0.0,0.0,0.0,0.0,0
94205496,0.000373396,-0.00958042,0.00899939,0.739873,0.0139423,-0.0153406,0.672434,0.0,0.0,0.0,0.0,0
94255498,0.000403102,-0.00930108,0.00961756,0.739732,0.0140859,-0.0154922,0.672583,0.0,0.0,0.0,0.0,0
94309515,0.000423043,-0.00903612,0.00999717,0.739583,0.0142257,-0.0156391,0.67274,0.0,0.0,0.0,0.0,0
94362631,0.000429052,-0.00873446,0.010029,0.739403,0.0143861,-0.0158072,0.67293,0.0,0.0,0.0,0.0,0
94415043,0.000414118,-0.0084447,0.00957945,0.739227,0.0145414,-0.0159695,0.673117,0.0,0.0,0.0,0.0,0
94467477,0.000386122,-0.00816482,0.00884316,0.739061,0.0146915,-0.0161266,0.673292,0.0,0.0,0.0,0.0,0
94519530,0.000347304,-0.00789124,0.00787863,0.738911,0.0148364,-0.0162785,0.67345,0.0,0.0,0.0,0.0,0
94571555,0.000303486,-0.00762426,0.00682215,0.738778,0.0149763,-0.0164256,0.673589,0.0,0.0,0.0,0.0,0
94624511,0.000260636,-0.00736431,0.00580809,0.738663,0.0151111,-0.016568,0.673708,0.0,0.0,0.0,0.0,0
94676466,0.000221965,-0.00711275,0.00490531,0.738566,0.0152411,-0.0167058,0.673809,0.0,0.0,0.0,0.0,0
94731524,0.000194452,-0.00684946,0.00426053,0.738476,0.0153759,-0.0168492,0.6739,0.0,0.0,0.0,0.0,0
94779603,0.000182013,-0.00663179,0.00395986,0.738407,0.0154873,-0.016968,0.673971,0.0,0.0,0.0,0.0,0
94836479,0.000180263,-0.00639011,0.00389067,0.73833,0.015613,-0.0171019,0.674049,0.0,0.0,0.0,0.0,0
94884469,0.00018796,-0.00619414,0.00403016,0.738264,0.0157171,-0.0172127,0.674116,0.0,0.0,0.0,0.0,0
94940466,0.00020415,-0.00597806,0.00434506,0.738182,0.0158349,-0.0173376,0.6742,0.0,0.0,0.0,0.0,0
94993466,0.000222158,-0.00578872,0.00469723,0.7381,0.0159409,-0.0174495,0.674284,0.0,0.0,0.0,0.0,0
95045494,0.000239114,-0.00560954,0.0050238,0.738012,0.0160438,-0.0175578,0.674375,0.0,0.0,0.0,0.0,0
