timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
16648622,0,0.0,0.0,0.0,0.0,0.00890225,-1.75256e-06,-1.31129e-06,0.0,-0.0270929,0.00197508,-0.0146581,-0.00670818,-0.000292021,-0.000218495,0.0,-0.0267406,-0.000380142,-0.125463,1.61201,0.0,0.1,0.0146581,0.20691,0.424532,0.193128,0.192921,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
16703621,0,0.0,0.0,0.0,0.0,0.00686166,-1.75256e-06,-1.31129e-06,0.0,-0.027026,0.00192523,-0.0146414,-0.00789468,-0.000292021,-0.000218495,0.0,-0.0350888,0.0213913,-0.0716764,1.61227,0.0,0.1,0.0146414,0.214157,0.431861,0.200667,0.193322,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
16753620,0,0.0,0.0,0.0,0.0,0.00586261,-1.75256e-06,-1.31129e-06,0.0,-0.0277012,0.00061831,-0.0141028,-0.0074347,-0.000292021,-0.000218495,0.0,-0.0401152,-0.0290768,-0.0102277,1.61241,0.0,0.1,0.0141028,0.204186,0.420746,0.196004,0.186827,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
16808609,0,0.0,0.0,0.0,0.0,0.00774151,-1.75256e-06,-1.31129e-06,0.0,-0.0286296,0.000221688,-0.0108474,-0.00120982,-0.000292021,-0.000218495,0.0,0.00226355,-0.242001,0.0646678,1.61243,0.0,0.131185,0.0108474,0.196867,0.411697,0.19432,0.180825,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
16858621,16843609,47.3667541,8.5501538,0.0,0.0,0.0148601,-1.75256e-06,-1.31129e-06,0.0,-0.0282007,0.00136008,-0.00834604,0.00904722,-0.000292021,-0.000218495,0.0,0.0280296,0.0202721,-0.0350154,1.61235,500.77,0.123815,0.00834604,0.204595,0.419289,0.20358,0.18098,inf,inf,inf,inf,0,1,0,1,1,0,1,1,1,1,0
16912732,16843609,47.3667541,8.5501538,-0.00950815,1.83615e-05,0.0194727,0.0128399,-0.0020284,0.0,-0.284953,-0.00226196,-0.100346,0.0128081,-0.258079,-0.0025694,-0.0936808,-0.010442,0.0225944,-0.0637583,1.61209,500.77,0.114864,0.100346,1.0,0.409379,1.0,0.83205,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
16965736,16843609,47.3667541,8.5501538,-0.0249394,-0.000198358,0.0206419,0.0128399,-0.0020284,0.0,-0.284058,-0.00226739,-0.0982642,-0.000113619,-0.258079,-0.0025694,-0.0936808,-0.0323581,0.0132295,0.0137818,1.61193,500.77,0.127807,0.0982642,1.00174,0.396001,1.00035,0.831891,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17018624,16843609,47.3667541,8.5501538,-0.04399,-0.000428938,0.0220114,0.0128399,-0.0020284,0.0,-0.283479,-0.00309921,-0.0976821,-0.00982904,-0.258079,-0.0025694,-0.0936808,-0.0352268,-0.0533911,0.11908,1.61176,500.77,0.121125,0.0976821,1.00671,0.404345,1.00122,0.831936,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17069622,16843609,47.3667541,8.5501538,-0.0603696,-0.000788382,0.0219202,0.0128399,-0.0020284,0.0,-0.263245,-0.00414153,-0.0895914,-0.0080446,-0.258079,-0.0025694,-0.0936808,0.0512285,0.0287516,0.0848651,1.61152,500.77,0.122564,0.0895914,1.00904,0.410553,0.818115,0.727574,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17121629,16843609,47.3667541,8.5501538,-0.075223,-0.00114532,0.0220935,0.0128399,-0.0020284,0.0,-0.24376,-0.00279704,-0.0840079,-0.0092334,-0.258079,-0.0025694,-0.0936808,-0.0631563,0.0477651,0.0658613,1.61127,500.77,0.118585,0.0840079,1.01692,0.425464,0.820082,0.727641,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17174735,16843609,47.3667541,8.5501538,-0.0883882,-0.00153053,0.0218306,0.0128399,-0.0020284,0.0,-0.229338,-0.00515272,-0.0781066,-0.00919089,-0.258079,-0.0025694,-0.0936808,-0.099279,0.021083,0.00663657,1.61121,500.77,0.125269,0.0781066,1.02515,0.420999,0.822326,0.721618,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17226646,16843609,47.3667541,8.5501538,-0.0996735,-0.00195261,0.0233126,0.0128399,-0.0020284,0.0,-0.21594,-0.00502856,-0.0709671,-0.00541221,-0.258079,-0.0025694,-0.0936808,0.0215919,0.0283472,-0.0739141,1.6112,500.77,0.120734,0.0709671,1.03622,0.44008,0.825446,0.721693,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17278645,16843609,47.3667541,8.5501538,-0.109509,-0.00242626,0.0239764,0.0128399,-0.0020284,0.0,-0.208556,-0.00772573,-0.064317,-0.00167893,-0.258079,-0.0025694,-0.0936808,-0.106151,0.000418796,-0.0664273,1.61128,500.77,0.117352,0.064317,1.04777,0.459489,0.828667,0.721767,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17330651,16843609,47.3667541,8.5501538,-0.117256,-0.00291728,0.0245013,0.0128399,-0.0020284,0.0,-0.200781,-0.00677188,-0.0606668,-0.00220837,-0.258079,-0.0025694,-0.0936808,-0.0633397,-0.00849521,0.00771408,1.6113,500.77,0.101732,0.0606668,1.06167,0.468947,0.832772,0.71452,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17383773,16843609,47.3667541,8.5501538,-0.153309,-0.0402854,0.0223541,0.0128399,-0.0020284,0.0,-0.198802,-0.0156912,-0.0596137,-0.00573267,-0.258079,-0.0025694,-0.0936808,-0.0224806,0.0231067,-0.105372,1.61126,500.77,0.113384,0.0596137,0.848793,0.456453,0.707099,0.639241,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17436642,16843609,47.3667541,8.5501538,-0.308458,-0.243688,0.0232542,0.0128399,-0.0020284,0.0,-0.216191,-0.0630845,-0.0527055,0.000179491,-0.258079,-0.0025694,-0.0936808,-0.0377191,-0.00655615,-0.0869407,1.61115,500.77,0.118241,0.0527055,0.858427,0.463247,0.71114,0.632787,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17489634,16843609,47.3667541,8.5501538,-0.459219,-0.444358,0.0250451,0.0128399,-0.0020284,0.0,-0.232181,-0.107755,-0.0444283,0.00710584,-0.258079,-0.0025694,-0.0936808,-0.0203641,0.0103807,0.151236,1.61117,500.77,0.108516,0.0444283,0.870335,0.448608,0.716303,0.613096,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17543620,16843609,47.3667541,8.5501538,-0.586644,-0.613731,0.0262608,0.0128399,-0.0020284,0.0,-0.242919,-0.143978,-0.0382458,0.0114199,-0.258079,-0.0025694,-0.0936808,-0.0174628,0.0300987,-0.00788052,1.61141,500.77,0.109163,0.0382458,0.886441,0.462388,0.722849,0.606513,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17594646,16843609,47.3667541,8.5501538,-0.694092,-0.757714,0.0283597,0.0128399,-0.0020284,0.0,-0.251819,-0.173556,-0.0327803,0.0155782,-0.258079,-0.0025694,-0.0936808,-0.0435848,0.0694854,0.000276866,1.61171,500.77,0.108212,0.0327803,0.902806,0.473925,0.729679,0.599257,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17644623,16843609,47.3667541,8.5501538,-0.824585,-0.881918,0.0295658,0.0128399,-0.0020284,0.0,-0.261049,-0.196158,-0.02861,0.0188164,-0.258079,-0.0025694,-0.0936808,-0.0291665,0.0487806,0.0819468,1.61217,500.77,0.106981,0.02861,0.761171,0.461465,0.63995,0.549932,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17698627,16843609,47.3667541,8.5501538,-0.995052,-1.04711,0.0314358,0.0128399,-0.0020284,0.0,-0.271974,-0.226656,-0.0238966,0.0212527,-0.258079,-0.0025694,-0.0936808,0.074083,-0.0548714,0.0782117,1.61259,500.77,0.100614,0.0238966,0.776335,0.473329,0.648156,0.542544,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17750831,16843609,47.3667541,8.5501538,-1.11882,-1.16822,0.0323895,0.0128399,-0.0020284,0.0,-0.278505,-0.248316,-0.0211719,0.0217051,-0.258079,-0.0025694,-0.0936808,-0.0356775,-0.128078,-0.0277042,1.61287,500.77,0.1,0.0211719,0.789389,0.492932,0.655801,0.54269,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17803619,16843609,47.3667541,8.5501538,-1.22249,-1.27089,0.0329343,0.0128399,-0.0020284,0.0,-0.283813,-0.260997,-0.0177599,0.0225003,-0.258079,-0.0025694,-0.0936808,0.0352255,0.476473,0.0607121,1.61317,500.77,0.1,0.0177599,0.807871,0.488163,0.665015,0.523851,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17855654,16843609,47.3667541,8.5501538,-1.30009,-1.34676,0.031901,0.0128399,-0.0020284,0.0,-0.290653,-0.206669,-0.0162086,0.0206243,-0.258079,-0.0025694,-0.0936808,-0.0989824,2.03233,0.0342367,1.61321,500.77,0.1,0.0162086,0.82024,0.47536,0.672277,0.506619,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17908649,16843609,47.3667541,8.5501538,-1.37571,-1.41546,0.0321347,0.0128399,-0.0020284,0.0,-0.299286,-0.0719219,-0.0106943,0.0238363,-0.258079,-0.0025694,-0.0936808,-0.132099,3.50945,0.0658785,1.61341,500.77,0.1,0.0106943,0.838888,0.483074,0.682121,0.498606,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17960652,16843609,47.3667541,8.5501538,-1.45265,-1.5259,0.0322279,0.0128399,-0.0020284,0.0,-0.311058,0.120579,-0.00482579,0.0277579,-0.258079,-0.0025694,-0.0936808,-0.367997,4.74845,0.118008,1.61365,500.77,0.1,0.00482579,0.719885,0.471489,0.603285,0.466072,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18012642,16843609,47.3667541,8.5501538,-1.53133,-1.63616,0.0328807,0.0128399,-0.0020284,0.0,-0.324518,0.365025,0.00253996,0.0332378,-0.258079,-0.0025694,-0.0936808,-0.270036,5.7559,-0.0992243,1.61366,500.77,0.1,-0.00253996,0.735991,0.492148,0.61352,0.466289,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18068641,16843609,47.3667541,8.5501538,-1.59606,-1.70051,0.0327514,0.0128399,-0.0020284,0.0,-0.331925,0.714192,0.0123385,0.040094,-0.258079,-0.0025694,-0.0936808,-0.282449,6.79392,0.0407043,1.61363,500.77,0.1,-0.0123385,0.73651,0.470127,0.571886,0.430677,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18118617,16843609,47.3667541,8.5501538,-1.64767,-1.73111,0.0324901,0.0128399,-0.0020284,0.0,-0.337796,1.06865,0.0199046,0.0444583,-0.258079,-0.0025694,-0.0936808,-0.335232,7.49199,0.157638,1.61367,500.77,0.1,-0.0199046,0.752946,0.475884,0.583068,0.423353,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18170659,16843609,47.3667541,8.5501538,-1.68947,-1.71844,0.0314896,0.0128399,-0.0020284,0.0,-0.34696,1.4698,0.027242,0.0479171,-0.258079,-0.0025694,-0.0936808,-0.232057,8.03132,0.104889,1.61397,500.77,0.1,-0.027242,0.766908,0.491405,0.592963,0.423721,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18223623,16843609,47.3667541,8.5501538,-1.73311,-1.68645,0.0287848,0.0128399,-0.0020284,0.0,-0.35642,1.90112,0.0353599,0.0499209,-0.258079,-0.0025694,-0.0936808,-0.233949,8.46726,0.320063,1.61414,500.77,0.1,-0.0353599,0.786885,0.483623,0.606763,0.408931,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18275687,16843609,47.3667541,8.5501538,-1.76636,-1.61063,0.02763,0.0128399,-0.0020284,0.0,-0.371023,2.3436,0.0443174,0.054797,-0.258079,-0.0025694,-0.0936808,-0.27349,8.69967,0.314198,1.61431,500.77,0.1,-0.0443174,0.802689,0.484282,0.61752,0.401764,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18328622,16843609,47.3667541,8.5501538,-1.79938,-1.50638,0.02704,0.0128399,-0.0020284,0.0,-0.385239,2.80587,0.0532405,0.0599504,-0.258079,-0.0025694,-0.0936808,-0.408857,8.90294,0.215047,1.61447,500.77,0.1,-0.0532405,0.823009,0.475004,0.632007,0.388553,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18383644,16843609,47.3667541,8.5501538,-1.82953,-1.36085,0.0277705,0.0128399,-0.0020284,0.0,-0.400678,3.2939,0.0641565,0.0681585,-0.258079,-0.0025694,-0.0936808,-0.325214,8.8865,0.195954,1.61442,500.77,0.1,-0.0641565,0.839074,0.488272,0.643428,0.389576,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18435618,16843609,47.3667541,8.5501538,-1.85784,-1.20159,0.0286867,0.0128399,-0.0020284,0.0,-0.414419,3.74818,0.0746597,0.0760818,-0.258079,-0.0025694,-0.0936808,-0.25528,8.93573,0.218272,1.61431,500.77,0.1,-0.0746597,0.861869,0.506494,0.65986,0.39137,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18486622,16843609,47.3667541,8.5501538,-1.88112,-1.00657,0.0282069,0.0128399,-0.0020284,0.0,-0.425592,4.21572,0.0818258,0.0788265,-0.258079,-0.0025694,-0.0936808,-0.366469,8.92067,0.244156,1.61422,500.77,0.1,-0.0818258,0.850728,0.48251,0.611611,0.365498,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18539623,16843609,47.3667541,8.5501538,-1.90101,-0.780087,0.0281639,0.0128399,-0.0020284,0.0,-0.434576,4.68839,0.0895791,0.0825949,-0.258079,-0.0025694,-0.0936808,-0.366761,8.79703,0.190174,1.61406,500.77,0.1,-0.0895791,0.873058,0.4602,0.627942,0.348752,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18593691,16843609,47.3667541,8.5501538,-1.92256,-0.512473,0.0322932,0.0128399,-0.0020284,0.0,-0.446666,5.17932,0.100634,0.0933301,-0.258079,-0.0025694,-0.0936808,-0.343565,8.71655,0.146071,1.61395,500.77,0.1,-0.100634,0.891717,0.473399,0.64227,0.351111,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18643611,16843609,47.3667541,8.5501538,-1.94175,-0.249349,0.0360685,0.0128399,-0.0020284,0.0,-0.457979,5.61614,0.109527,0.10167,-0.258079,-0.0025694,-0.0936808,-0.413953,8.83115,0.192667,1.61381,500.77,0.1,-0.109527,0.910797,0.473346,0.656158,0.347334,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18697622,16843609,47.3667541,8.5501538,-2.09502,0.0426731,0.039156,0.0128399,-0.0020284,0.0,-0.516132,6.08623,0.117636,0.107648,-0.258079,-0.0025694,-0.0936808,-0.257593,8.64069,0.173047,1.61351,500.77,0.1,-0.117636,0.762208,0.466973,0.577547,0.335137,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18749606,16843609,47.3667541,8.5501538,-2.29371,0.351933,0.0424447,0.0128399,-0.0020284,0.0,-0.591441,6.54397,0.124752,0.112416,-0.258079,-0.0025694,-0.0936808,-0.381799,8.58769,0.109812,1.61302,500.77,0.1,-0.124752,0.778374,0.480166,0.591897,0.338,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18801638,16843609,47.3667541,8.5501538,-2.48502,0.668237,0.0466195,0.0128399,-0.0020284,0.0,-0.652893,6.97466,0.131667,0.118303,-0.258079,-0.0025694,-0.0936808,-0.329964,8.51307,0.214589,1.61235,500.77,0.1,-0.131667,0.775541,0.473903,0.560371,0.327028,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18855640,16843609,47.3667541,8.5501538,-2.62752,1.0317,0.052103,0.0128399,-0.0020284,0.0,-0.685231,7.41924,0.142336,0.12838,-0.258079,-0.0025694,-0.0936808,-0.179264,8.34878,0.14516,1.61135,500.77,0.1,-0.142336,0.79159,0.487051,0.575904,0.330627,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18908617,16843609,47.3667541,8.5501538,-2.86187,1.46181,0.0583383,0.0128399,-0.0020284,0.0,-0.745906,7.88366,0.153097,0.138944,-0.258079,-0.0025694,-0.0936808,-0.243959,8.31095,0.183637,1.61019,500.77,0.1,-0.153097,0.692021,0.494754,0.528375,0.32615,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18960606,16843609,47.3667541,8.5501538,-3.13971,1.93526,0.0654665,0.0128399,-0.0020284,0.0,-0.819371,8.33576,0.161818,0.147906,-0.258079,-0.0025694,-0.0936808,-0.339396,8.10124,0.139888,1.60872,500.77,0.1,-0.161818,0.705287,0.507384,0.543158,0.329715,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
19010806,16843609,47.3667541,8.5501538,-3.41512,2.42194,0.0758469,0.0128399,-0.0020284,0.0,-0.886461,8.77202,0.174039,0.163505,-0.258079,-0.0025694,-0.0936808,-0.0709585,7.93922,0.155061,1.60732,500.77,0.1,-0.174039,0.722164,0.505972,0.560423,0.327142,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
19063639,16843609,47.3667541,8.5501538,-3.65551,2.93439,0.0884376,0.0128399,-0.0020284,0.0,-0.944271,9.20753,0.18733,0.181097,-0.258079,-0.0025694,-0.0936808,-0.241589,7.99227,0.220556,1.60597,500.77,0.1,-0.18733,0.739164,0.488847,0.576776,0.318799,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
19118692,16843609,47.3667541,8.5501538,-3.84935,3.46469,0.0998163,0.0128399,-0.0020284,0.0,-0.983958,9.63732,0.197921,0.19325,-0.258079,-0.0025694,-0.0936808,-0.221247,7.85875,0.437549,1.60472,500.77,0.1,-0.197921,0.6551,0.480589,0.529276,0.309347,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
19168621,16843609,47.3667541,8.5501538,-4.02747,3.97627,0.11038,0.0128399,-0.0020284,0.0,-1.0076,10.0342,0.20509,0.200879,-0.258079,-0.0025694,-0.0936808,-0.161257,7.61937,0.118977,1.60348,500.77,0.1,-0.20509,0.667306,0.491281,0.543519,0.313222,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
19223623,16843609,47.3667541,8.5501538,-4.22077,4.54484,0.11975,0.0128399,-0.0020284,0.0,-1.02902,10.4509,0.213991,0.208037,-0.258079,-0.0025694,-0.0936808,-0.123699,7.47662,0.335081,1.60212,500.77,0.1,-0.213991,0.686319,0.478101,0.562243,0.307719,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
19271644,16843609,47.3667541,8.5501538,-4.35507,5.06039,0.127069,0.0128399,-0.0020284,0.0,-1.04578,10.8092,0.219713,0.211061,-0.258079,-0.0025694,-0.0936808,-0.199835,7.35477,0.217726,1.60145,500.77,0.1,-0.219713,0.702614,0.476763,0.577612,0.307373,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
