timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,device_id,x_raw,y_raw,z_raw,temperature_raw
13479522,0,0,-0.31371,0.181473,-9.91814,0.0,0.0,0.0,11.8272,0.0,0.0,0,-31,18,-1011,0
13657529,0,0,-0.215435,0.211584,-9.87474,0.0,0.0,0.0,11.8272,0.0,0.0,0,-21,21,-1006,0
13711557,0,0,-0.22857,0.223725,-9.96685,0.0,0.0,0.0,11.8272,0.0,0.0,0,-23,22,-1016,0
13763505,0,0,-0.149192,0.143663,-9.98691,0.0,0.0,0.0,11.8272,0.0,0.0,0,-15,14,-1018,0
13816534,0,0,-0.214643,0.230148,-9.89983,0.0,0.0,0.0,11.8272,0.0,0.0,0,-21,23,-1009,0
13867583,0,0,-0.142257,0.188829,-9.98139,0.0,0.0,0.0,11.8272,0.0,0.0,0,-14,19,-1017,0
13918482,0,0,-0.269855,0.255796,-9.91667,0.0,0.0,0.0,11.8272,0.0,0.0,0,-27,26,-1011,0
13970488,0,0,-0.309699,0.190979,-10.1128,0.0,0.0,0.0,11.8272,0.0,0.0,0,-31,19,-1031,0
14027530,0,0,-0.153041,0.203732,-9.87772,0.0,0.0,0.0,11.8272,0.0,0.0,0,-15,20,-1007,0
14078504,0,0,-0.286523,0.18301,-9.86443,0.0,0.0,0.0,11.8272,0.0,0.0,0,-29,18,-1005,0
14132501,0,0,-0.245822,0.209728,-9.9862,0.0,0.0,0.0,11.8272,0.0,0.0,0,-25,21,-1018,0
14183486,0,0,-0.194054,0.145404,-9.97445,0.0,0.0,0.0,11.8272,0.0,0.0,0,-19,14,-1017,0
14236479,0,0,-0.240335,0.232708,-9.98194,0.0,0.0,0.0,11.8272,0.0,0.0,0,-24,23,-1017,0
14285550,0,0,-0.331718,0.281007,-9.95533,0.0,0.0,0.0,11.8272,0.0,0.0,0,-33,28,-1015,0
14340478,0,0,-0.158395,0.110307,-9.97446,0.0,0.0,0.0,11.8272,0.0,0.0,0,-16,11,-1017,0
14393560,0,0,-0.281715,0.290113,-9.91761,0.0,0.0,0.0,11.8272,0.0,0.0,0,-28,29,-1011,0
14445483,0,0,-0.18074,0.184242,-10.042,0.0,0.0,0.0,11.8272,0.0,0.0,0,-18,18,-1024,0
14499532,0,0,-0.167911,0.23418,-9.91622,0.0,0.0,0.0,11.8272,0.0,0.0,0,-17,23,-1011,0
14549478,0,0,-0.271854,0.156442,-9.93473,0.0,0.0,0.0,11.8272,0.0,0.0,0,-27,15,-1013,0
14604187,0,0,-0.385522,0.0862395,-9.83771,0.0,0.0,0.0,11.8272,0.0,0.0,0,-39,8,-1003,0
14656479,0,0,-0.296493,0.213124,-9.98918,0.0,0.0,0.0,11.8272,0.0,0.0,0,-30,21,-1018,0
14705349,0,0,-0.312869,0.403043,-9.94305,0.0,0.0,0.0,11.8272,0.0,0.0,0,-31,41,-1013,0
14761064,0,0,-0.298318,0.225165,-9.94686,0.0,0.0,0.0,11.8272,0.0,0.0,0,-30,22,-1014,0
14812486,0,0,-0.127359,0.260815,-9.82964,0.0,0.0,0.0,11.8272,0.0,0.0,0,-12,26,-1002,0
14865501,0,0,-0.150397,0.114432,-9.78806,0.0,0.0,0.0,11.8272,0.0,0.0,0,-15,11,-998,0
14918533,0,0,-0.22415,0.10585,-9.93174,0.0,0.0,0.0,11.8272,0.0,0.0,0,-22,10,-1012,0
14968479,0,0,-0.170185,0.114145,-9.88231,0.0,0.0,0.0,11.8272,0.0,0.0,0,-17,11,-1007,0
15022548,0,0,-0.36821,0.209884,-9.89346,0.0,0.0,0.0,11.8272,0.0,0.0,0,-37,21,-1008,0
15075556,0,0,-0.137584,0.0606755,-9.88289,0.0,0.0,0.0,11.8272,0.0,0.0,0,-14,6,-1007,0
15129499,0,0,-0.229151,0.27947,-9.96381,0.0,0.0,0.0,11.8272,0.0,0.0,0,-23,28,-1016,0
15182480,0,0,-0.196056,0.240717,-9.92368,0.0,0.0,0.0,11.8272,0.0,0.0,0,-19,24,-1011,0
15234479,0,0,-0.190792,0.361733,-9.81628,0.0,0.0,0.0,11.8272,0.0,0.0,0,-19,36,-1000,0
15287500,0,0,-0.179182,0.227311,-9.8559,0.0,0.0,0.0,11.8272,0.0,0.0,0,-18,23,-1005,0
15337502,0,0,-0.121776,0.280136,-10.014,0.0,0.0,0.0,11.8272,0.0,0.0,0,-12,28,-1021,0
15392467,0,0,-0.238434,0.215772,-9.88109,0.0,0.0,0.0,11.8272,0.0,0.0,0,-24,22,-1007,0
15441527,0,0,-0.214643,0.125401,-9.96538,0.0,0.0,0.0,11.8272,0.0,0.0,0,-21,12,-1016,0
15492418,0,0,-0.263506,0.22436,-9.97253,0.0,0.0,0.0,11.8272,0.0,0.0,0,-26,22,-1016,0
15549819,0,0,-0.0196357,0.109505,-9.84228,0.0,0.0,0.0,11.8272,0.0,0.0,0,-2,11,-1003,0
15599483,0,0,-0.16935,0.208975,-9.85168,0.0,0.0,0.0,11.8272,0.0,0.0,0,-17,21,-1004,0
15653330,0,0,-0.233115,0.137564,-9.96656,0.0,0.0,0.0,11.8272,0.0,0.0,0,-23,14,-1016,0
15704482,0,0,-0.143544,0.155181,-9.9202,0.0,0.0,0.0,11.8272,0.0,0.0,0,-14,15,-1011,0
15755549,0,0,-0.20069,0.289665,-9.95859,0.0,0.0,0.0,11.8272,0.0,0.0,0,-20,29,-1015,0
15809502,0,0,0.108504,0.268868,-9.98055,0.0,0.0,0.0,11.8272,0.0,0.0,0,11,27,-1017,0
15861484,0,0,0.333483,0.225734,-9.94727,0.0,0.0,0.0,11.8272,0.0,0.0,0,34,23,-1014,0
15907511,0,0,0.340513,0.0831732,-9.97704,0.0,0.0,0.0,11.8272,0.0,0.0,0,34,8,-1017,0
15964496,0,0,0.430451,0.165923,-9.88715,0.0,0.0,0.0,11.8272,0.0,0.0,0,43,16,-1008,0
16017507,0,0,0.606193,0.188654,-9.89625,0.0,0.0,0.0,11.8272,0.0,0.0,0,61,19,-1009,0
16070479,0,0,0.782316,0.13448,-9.86417,0.0,0.0,0.0,11.8272,0.0,0.0,0,79,13,-1005,0
