timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
18491891,18491735,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18497682,18496618,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18545992,18545620,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18602054,18601682,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18653971,18653606,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18704834,18704694,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18757993,18757621,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18809926,18809648,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18859073,18858701,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18917010,18916645,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18969942,18969721,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
19021998,19021622,0.0,0.0,0.0,0.056,0.5,0.0,0.0,0.0
19071048,19070676,0.0,0.0,0.0,0.112,0.5,0.0,0.0,0.0
19126753,19126617,0.0,0.0,0.0,0.205,0.5,0.0,0.0,0.0
19178652,19178513,0.0,0.0,0.0,0.323,0.5,0.0,0.0,0.0
19227996,19227624,0.0,0.0,0.0,0.323,0.5,0.0,0.0,0.0
19282757,19282612,0.0,0.0,0.0,0.492,0.5,0.0,0.0,0.0
19331773,19331620,0.0,0.0,0.0,0.492,0.5,0.0,0.0,0.0
19383049,19382910,0.0,0.0,0.0,0.492,0.5,0.0,0.0,0.0
19440984,19440619,0.0,0.0,0.0,0.635,0.5,0.0,0.0,0.0
19490981,19490609,0.0,0.0,0.0,0.717,0.5,0.0,0.0,0.0
19544390,19543708,0.0,0.0,0.0,0.779,0.5,0.0,0.0,0.0
19599784,19599635,0.0,0.0,0.0,0.779,0.5,0.0,0.0,0.0
19650025,19649653,0.0,0.0,0.0,0.846,0.5,0.0,0.0,0.0
19700594,19700459,0.0,0.0,0.0,0.846,0.5,0.0,0.0,0.0
19755754,19755618,0.0,0.0,0.0,0.923,0.5,0.0,0.0,0.0
19810002,19809620,0.0,0.0,0.0,0.938,0.5,0.0,0.0,0.0
19859811,19859675,0.0,0.0,0.0,0.938,0.5,0.0,0.0,0.0
19915316,19914648,0.0,0.0,0.0,0.974,0.5,0.0,0.0,0.0
19962871,19962722,0.0,0.0,0.0,0.974,0.5,0.0,0.0,0.0
20014832,20014697,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20069793,20069653,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20120023,20119641,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20175727,20174667,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20228105,20227704,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20281820,20281685,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20333515,20333136,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20387010,20386638,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20439802,20439663,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20488786,20488650,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20543382,20542683,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20596993,20596621,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20645770,20645635,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20700996,20700615,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20754749,20754610,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20804847,20804681,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20857324,20856933,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20911133,20910685,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
20963049,20962677,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
21015793,21015654,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
21067261,21066736,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
21118694,21117637,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
21171545,21170785,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
