timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
13645227,13645161,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13718313,13718243,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13822265,13822199,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13877301,13877236,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13927476,13927408,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13979782,13979668,0.0,0.0,0.0,0.353,0.5,0.0,0.0,0.0
14031852,14031783,0.0,0.0,0.0,0.502,0.5,0.0,0.0,0.0
14080666,14080601,0.0,0.0,0.0,0.502,0.5,0.0,0.0,0.0
14136613,14136548,0.0,0.0,0.0,0.81,0.5,0.0,0.0,0.0
14191497,14191425,0.0,0.0,0.0,0.81,0.5,0.0,0.0,0.0
14244496,14244426,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
14293705,14293639,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
14347689,14347623,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
14399801,14399723,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
14451884,14451819,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
14505808,14505742,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
14559036,14558967,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
14609939,14609870,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
14663583,14663490,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
14713541,14713471,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
14769538,14769473,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
14819556,14819490,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
14871563,14871497,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
14923560,14923491,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
14976595,14976530,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
15028526,15028460,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
15083558,15083489,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
15136526,15136460,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
