timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
16462824,16462679,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16533779,16533639,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16649305,16648622,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16703760,16703621,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16753767,16753620,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16809030,16808609,0.0,0.0,0.0,0.046,0.5,0.0,0.0,0.0
16859006,16858621,0.0,0.0,0.0,0.133,0.5,0.0,0.0,0.0
16912878,16912732,0.0,0.0,0.0,0.266,0.5,0.0,0.0,0.0
16966116,16965736,0.0,0.0,0.0,0.343,0.5,0.0,0.0,0.0
17019203,17018624,0.0,0.0,0.0,0.446,0.5,0.0,0.0,0.0
17069783,17069622,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
17122018,17121629,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
17175512,17174735,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
17227021,17226646,0.0,0.0,0.0,0.589,0.5,0.0,0.0,0.0
17278787,17278645,0.0,0.0,0.0,0.625,0.5,0.0,0.0,0.0
17331029,17330651,0.0,0.0,0.0,0.666,0.5,0.0,0.0,0.0
17384967,17383773,0.0,0.0,0.0,0.697,0.5,0.0,0.0,0.0
17436784,17436642,0.0,0.0,0.0,0.733,0.5,0.0,0.0,0.0
17490419,17489634,0.0,0.0,0.0,0.789,0.5,0.0,0.0,0.0
17544005,17543620,0.0,0.0,0.0,0.825,0.5,0.0,0.0,0.0
17595021,17594646,0.0,0.0,0.0,0.861,0.5,0.0,0.0,0.0
17644779,17644623,0.0,0.0,0.0,0.887,0.5,0.0,0.0,0.0
17699039,17698627,0.0,0.0,0.0,0.912,0.5,0.0,0.0,0.0
17751219,17750831,0.0,0.0,0.0,0.928,0.5,0.0,0.0,0.0
17804284,17803619,0.0,0.0,0.0,0.953,0.5,0.0,0.0,0.0
17855797,17855654,0.0,0.0,0.0,0.979,0.5,0.0,0.0,0.0
17908796,17908649,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
17960790,17960652,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
18013027,18012642,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
18068797,18068641,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
18118985,18118617,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
18170801,18170659,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
18224009,18223623,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
18275826,18275687,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
18329012,18328622,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
18383782,18383644,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
18436191,18435618,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
18487025,18486622,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
18540011,18539623,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
18593830,18593691,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
18643753,18643611,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
