timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
14501979,14501829,0.0,0.0,0.0,0.323,0.5,0.0,0.0,0.0
14510052,14509680,0.0,0.0,0.0,0.353,0.5,0.0,0.0,0.0
14561992,14561621,0.0,0.0,0.0,0.374,0.5,0.0,0.0,0.0
14613839,14613700,0.0,0.0,0.0,0.384,0.5,0.0,0.0,0.0
14666733,14665630,0.0,0.0,0.0,0.389,0.5,0.0,0.0,0.0
14717917,14717624,0.0,0.0,0.0,0.405,0.5,0.0,0.0,0.0
14770811,14770671,0.0,0.0,0.0,0.425,0.5,0.0,0.0,0.0
14825434,14824610,0.0,0.0,0.0,0.425,0.5,0.0,0.0,0.0
14878760,14878621,0.0,0.0,0.0,0.435,0.5,0.0,0.0,0.0
14931536,14930689,0.0,0.0,0.0,0.456,0.5,0.0,0.0,0.0
14984016,14983858,0.0,0.0,0.0,0.466,0.5,0.0,0.0,0.0
15035760,15035625,0.0,0.0,0.0,0.482,0.5,0.0,0.0,0.0
15087906,15086818,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15140998,15140627,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15190390,15189672,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15244986,15244610,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15297010,15296810,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15350024,15349652,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15400773,15400634,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15456045,15455673,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15506097,15505719,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15559774,15559621,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15611902,15611537,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15664000,15663622,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15717777,15717638,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15767754,15767618,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15822867,15822699,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15873975,15873578,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15927754,15927618,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
15976050,15975862,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16031005,16030633,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16082759,16082621,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16136592,16136197,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16186995,16186623,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16239172,16239026,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16293043,16292668,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16344981,16344609,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16401000,16400635,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16451322,16450650,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16503941,16503796,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16557788,16557652,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16608120,16607740,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16659762,16659623,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16714520,16713704,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
